id,team1,team2,winner
0,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
1,Mumbai Indians,Rajasthan Royals,Mumbai Indians
2,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
3,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
4,Chennai Super Kings,Deccan Chargers,Deccan Chargers
5,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
6,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
7,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
8,Delhi Daredevils,Mumbai Indians,Mumbai Indians
9,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
10,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
11,Deccan Chargers,Kings XI Punjab,Deccan Chargers
12,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
13,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
14,Deccan Chargers,Delhi Daredevils,Deccan Chargers
15,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
16,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
17,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
18,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
19,Mumbai Indians,Chennai Super Kings,Mumbai Indians
20,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
21,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
22,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
23,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
24,Deccan Chargers,Mumbai Indians,Mumbai Indians
25,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
26,Mumbai Indians,Kings XI Punjab,Mumbai Indians
27,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
28,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
29,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
30,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
31,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
32,Mumbai Indians,Deccan Chargers,Mumbai Indians
33,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
34,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
35,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
36,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
37,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
38,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
39,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
40,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
41,Deccan Chargers,Chennai Super Kings,Deccan Chargers
42,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
43,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
44,Rajasthan Royals,Mumbai Indians,Mumbai Indians
45,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers
46,Mumbai Indians,Delhi Daredevils,Mumbai Indians
47,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
48,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
49,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
50,Kings XI Punjab,Deccan Chargers,Deccan Chargers
51,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
52,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
53,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
54,Delhi Daredevils,Deccan Chargers,Deccan Chargers
55,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
