id,team1,team2,winner
0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1,Delhi Capitals,Kings XI Punjab,Delhi Capitals
2,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
3,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
4,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
5,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
6,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
7,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
8,Delhi Capitals,Rajasthan Royals,Delhi Capitals
9,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
10,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
11,Mumbai Indians,Kings XI Punjab,Mumbai Indians
12,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
13,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
14,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
15,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
16,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
17,Chennai Super Kings,Delhi Capitals,Delhi Capitals
18,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
19,Mumbai Indians,Rajasthan Royals,Mumbai Indians
20,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
21,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
22,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
23,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
24,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
25,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
26,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
27,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals
28,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
29,Chennai Super Kings,Mumbai Indians,Mumbai Indians
30,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
31,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
32,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
33,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
34,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
35,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
36,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
37,Delhi Capitals,Mumbai Indians,Mumbai Indians
38,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
39,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
40,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
41,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
42,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
43,Delhi Capitals,Mumbai Indians,Mumbai Indians
44,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
45,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
46,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
47,Delhi Capitals,Chennai Super Kings,Delhi Capitals
48,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
49,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
50,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
51,Delhi Capitals,Rajasthan Royals,Delhi Capitals
52,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
53,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
54,Delhi Capitals,Kings XI Punjab,Kings XI Punjab
55,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
