id,team1,team2,winner
0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
2,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
3,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
4,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
5,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
6,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
7,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
8,Mumbai Indians,Delhi Daredevils,Delhi Daredevils
9,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
10,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
11,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
12,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
13,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
14,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
15,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
16,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
17,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
18,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
19,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
20,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
21,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
22,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
23,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
24,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
25,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
26,Chennai Super Kings,Mumbai Indians,Mumbai Indians
27,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
28,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
29,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
30,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
31,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
32,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
33,Kings XI Punjab,Mumbai Indians,Mumbai Indians
34,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
35,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
36,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
37,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
38,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
39,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
40,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
41,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
42,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
43,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
44,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
45,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
46,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
47,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
48,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
49,Mumbai Indians,Kings XI Punjab,Mumbai Indians
50,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
51,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
52,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
53,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
54,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
55,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
