id,team1,team2,winner
0,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
1,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
2,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad
3,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
4,Chennai Super Kings,Mumbai Indians,Mumbai Indians
5,Pune Warriors,Kings XI Punjab,Kings XI Punjab
6,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
7,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
8,Mumbai Indians,Delhi Daredevils,Mumbai Indians
9,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
10,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
11,Pune Warriors,Rajasthan Royals,Pune Warriors
12,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
13,Mumbai Indians,Pune Warriors,Mumbai Indians
14,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
15,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
16,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
17,Chennai Super Kings,Pune Warriors,Pune Warriors
18,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
19,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
20,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad
21,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
22,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
23,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
24,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
25,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
26,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
27,Kings XI Punjab,Pune Warriors,Kings XI Punjab
28,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
29,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore
30,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
31,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
32,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
33,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
34,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
35,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
36,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
37,Delhi Daredevils,Pune Warriors,Delhi Daredevils
38,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
39,Mumbai Indians,Kings XI Punjab,Mumbai Indians
40,Pune Warriors,Chennai Super Kings,Chennai Super Kings
41,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
42,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
43,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
44,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore
45,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
46,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
47,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
48,Mumbai Indians,Chennai Super Kings,Mumbai Indians
49,Rajasthan Royals,Pune Warriors,Rajasthan Royals
50,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
51,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
52,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
53,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
54,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
55,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders
56,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
57,Pune Warriors,Mumbai Indians,Mumbai Indians
58,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
59,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
60,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
61,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
62,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
63,Kolkata Knight Riders,Pune Warriors,Pune Warriors
64,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
65,Mumbai Indians,Rajasthan Royals,Mumbai Indians
66,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
67,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
68,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
69,Pune Warriors,Delhi Daredevils,Pune Warriors
71,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
72,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
